"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 06 11:11:02 CEST 2022","Thu Oct 06 11:11:14 CEST 2022","12389","","User Management page","","User Management page","should allow to add user via Add User form","should allow to add user via Add User form",""
"passed","Thu Oct 06 11:11:14 CEST 2022","Thu Oct 06 11:11:19 CEST 2022","4862","","User Management page","","User Management page","should allow to search new user","should allow to search new user",""
"passed","Thu Oct 06 11:11:19 CEST 2022","Thu Oct 06 11:11:19 CEST 2022","556","","User Management page","","User Management page","should allow to reset user","should allow to reset user",""
"passed","Thu Oct 06 11:11:19 CEST 2022","Thu Oct 06 11:11:20 CEST 2022","649","","User Management page","","User Management page","should allow to delete user","should allow to delete user",""
